"Statistic Label","Census Year","County and City","Detailed Marital Status","Sex","UNIT","VALUE"
"Population","2011","State","All marital status","Both sexes","Number","4588252"
"Population","2011","State","All marital status","Male","Number","2272699"
"Population","2011","State","All marital status","Female","Number","2315553"
"Population","2011","State","Single","Both sexes","Number","2484625"
"Population","2011","State","Single","Male","Number","1285612"
"Population","2011","State","Single","Female","Number","1199013"
"Population","2011","State","Married (first marriage)","Both sexes","Number","1655906"
"Population","2011","State","Married (first marriage)","Male","Number","825764"
"Population","2011","State","Married (first marriage)","Female","Number","830142"
"Population","2011","State","Re-married","Both sexes","Number","52698"
"Population","2011","State","Re-married","Male","Number","29323"
"Population","2011","State","Re-married","Female","Number","23375"
"Population","2011","State","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","State","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","State","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","State","Separated","Both sexes","Number","116194"
"Population","2011","State","Separated","Male","Number","50833"
"Population","2011","State","Separated","Female","Number","65361"
"Population","2011","State","Divorced","Both sexes","Number","87770"
"Population","2011","State","Divorced","Male","Number","38085"
"Population","2011","State","Divorced","Female","Number","49685"
"Population","2011","State","Widowed","Both sexes","Number","191059"
"Population","2011","State","Widowed","Male","Number","43082"
"Population","2011","State","Widowed","Female","Number","147977"
"Population","2011","Carlow","All marital status","Both sexes","Number","54612"
"Population","2011","Carlow","All marital status","Male","Number","27431"
"Population","2011","Carlow","All marital status","Female","Number","27181"
"Population","2011","Carlow","Single","Both sexes","Number","29158"
"Population","2011","Carlow","Single","Male","Number","15430"
"Population","2011","Carlow","Single","Female","Number","13728"
"Population","2011","Carlow","Married (first marriage)","Both sexes","Number","19937"
"Population","2011","Carlow","Married (first marriage)","Male","Number","9980"
"Population","2011","Carlow","Married (first marriage)","Female","Number","9957"
"Population","2011","Carlow","Re-married","Both sexes","Number","650"
"Population","2011","Carlow","Re-married","Male","Number","354"
"Population","2011","Carlow","Re-married","Female","Number","296"
"Population","2011","Carlow","Registered Same-Sex Civil Partnership","Both sexes","Number","0"
"Population","2011","Carlow","Registered Same-Sex Civil Partnership","Male","Number","0"
"Population","2011","Carlow","Registered Same-Sex Civil Partnership","Female","Number","0"
"Population","2011","Carlow","Separated","Both sexes","Number","1515"
"Population","2011","Carlow","Separated","Male","Number","648"
"Population","2011","Carlow","Separated","Female","Number","867"
"Population","2011","Carlow","Divorced","Both sexes","Number","1094"
"Population","2011","Carlow","Divorced","Male","Number","483"
"Population","2011","Carlow","Divorced","Female","Number","611"
"Population","2011","Carlow","Widowed","Both sexes","Number","2258"
"Population","2011","Carlow","Widowed","Male","Number","536"
"Population","2011","Carlow","Widowed","Female","Number","1722"
"Population","2011","Dublin City","All marital status","Both sexes","Number","527612"
"Population","2011","Dublin City","All marital status","Male","Number","257303"
"Population","2011","Dublin City","All marital status","Female","Number","270309"
"Population","2011","Dublin City","Single","Both sexes","Number","320199"
