"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Annual Earnings","2011","All counties (1)","Both sexes","Euro","39594"
"Mean Annual Earnings","2011","All counties (1)","Male","Euro","45781"
"Mean Annual Earnings","2011","All counties (1)","Female","Euro","33733"
"Mean Annual Earnings","2011","Carlow","Both sexes","Euro","34815"
"Mean Annual Earnings","2011","Carlow","Male","Euro","38715"
"Mean Annual Earnings","2011","Carlow","Female","Euro","31057"
"Mean Annual Earnings","2011","Dublin","Both sexes","Euro","44243"
"Mean Annual Earnings","2011","Dublin","Male","Euro","51280"
"Mean Annual Earnings","2011","Dublin","Female","Euro","37226"
"Mean Annual Earnings","2011","Kildare","Both sexes","Euro","42084"
"Mean Annual Earnings","2011","Kildare","Male","Euro","49256"
"Mean Annual Earnings","2011","Kildare","Female","Euro","34641"
"Mean Annual Earnings","2011","Kilkenny","Both sexes","Euro","36856"
"Mean Annual Earnings","2011","Kilkenny","Male","Euro","42493"
"Mean Annual Earnings","2011","Kilkenny","Female","Euro","32221"
"Mean Annual Earnings","2011","Laois","Both sexes","Euro","37253"
"Mean Annual Earnings","2011","Laois","Male","Euro","42409"
"Mean Annual Earnings","2011","Laois","Female","Euro","32515"
"Mean Annual Earnings","2011","Longford","Both sexes","Euro","33473"
"Mean Annual Earnings","2011","Longford","Male","Euro","36900"
"Mean Annual Earnings","2011","Longford","Female","Euro","30522"
"Mean Annual Earnings","2011","Louth","Both sexes","Euro","36209"
"Mean Annual Earnings","2011","Louth","Male","Euro","41125"
"Mean Annual Earnings","2011","Louth","Female","Euro","31390"
"Mean Annual Earnings","2011","Meath","Both sexes","Euro","41083"
"Mean Annual Earnings","2011","Meath","Male","Euro","48631"
"Mean Annual Earnings","2011","Meath","Female","Euro","33740"
"Mean Annual Earnings","2011","Offaly","Both sexes","Euro","35380"
"Mean Annual Earnings","2011","Offaly","Male","Euro","39679"
"Mean Annual Earnings","2011","Offaly","Female","Euro","31203"
"Mean Annual Earnings","2011","Westmeath","Both sexes","Euro","37076"
